"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0046983","MF","protein dimerization activity","4/51","1091/191179",0.000212947743012894,4,"NUDT16/POLR2J/POLR2J2/POLR2J3",0.000770236517280681
"GO:0003727","MF","single-stranded RNA binding","2/51","88/191179",0.000263182056072841,2,"POLR2G/ZCCHC13",0.000932103115257977
"GO:0004483","MF","mRNA (nucleoside-2'-O-)-methyltransferase activity","1/51","2/191179",0.000533461633574706,1,"CMTR2",0.00161943710192321
"GO:0004519","MF","endonuclease activity","2/51","125/191179",0.000529474559832268,2,"NUDT16/RNASE3",0.00161943710192321
"GO:0004540","MF","RNA nuclease activity","2/51","124/191179",0.000521091816354475,2,"NUDT16/RNASE3",0.00161943710192321
"GO:0035870","MF","dITP diphosphatase activity","1/51","2/191179",0.000533461633574706,1,"NUDT16",0.00161943710192321
"GO:0052717","MF","tRNA-specific adenosine-34 deaminase activity","1/51","2/191179",0.000533461633574706,1,"ADAT3",0.00161943710192321
"GO:0097158","MF","pre-mRNA intronic pyrimidine-rich binding","1/51","2/191179",0.000533461633574706,1,"RBM4",0.00161943710192321
"GO:0110153","MF","RNA NAD-cap (NMN-forming) hydrolase activity","1/51","2/191179",0.000533461633574706,1,"NUDT16",0.00161943710192321
"GO:1990174","MF","phosphodiesterase decapping endonuclease activity","1/51","2/191179",0.000533461633574706,1,"NUDT16",0.00161943710192321
"GO:0140101","MF","catalytic activity, acting on a tRNA","2/51","131/191179",0.000581143972036248,2,"LCMT2/TRMT12",0.00173323640782741
"GO:0004386","MF","helicase activity","2/51","154/191179",0.000800900355925422,2,"DDX19A/EIF4A1",0.00226921767512203
"GO:0009383","MF","rRNA (cytosine-C5-)-methyltransferase activity","1/51","3/191179",0.000800087814844641,1,"NOP2",0.00226921767512203
"GO:1990003","MF","IDP phosphatase activity","1/51","3/191179",0.000800087814844641,1,"NUDT16",0.00226921767512203
"GO:0005055","MF","laminin receptor activity","1/51","4/191179",0.00106664426294223,1,"RPSA",0.00287824642381236
"GO:0017111","MF","ribonucleoside triphosphate phosphatase activity","3/51","740/191179",0.00104740636673006,3,"DDX19A/EIF2S3B/EIF4A1",0.00287824642381236
"GO:0032422","MF","purine-rich negative regulatory element binding","1/51","4/191179",0.00106664426294223,1,"PURA",0.00287824642381236
"GO:0016434","MF","rRNA (cytosine) methyltransferase activity","1/51","5/191179",0.00133313099573962,1,"NOP2",0.00348665029654977
"GO:0140933","MF","5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity","1/51","5/191179",0.00133313099573962,1,"NUDT16",0.00348665029654977
"GO:0004518","MF","nuclease activity","2/51","208/191179",0.00145012340642185,2,"NUDT16/RNASE3",0.00373516634987446
"GO:0030628","MF","pre-mRNA 3'-splice site binding","1/51","6/191179",0.00159954803110651,1,"ZRSR2P1",0.00399887007776628
"GO:0140818","MF","mRNA 5'-phosphatase activity","1/51","6/191179",0.00159954803110651,1,"NUDT16",0.00399887007776628
"GO:0008169","MF","C-methyltransferase activity","1/51","7/191179",0.00186589538690674,1,"NOP2",0.00459713356194413
"GO:0008251","MF","tRNA-specific adenosine deaminase activity","1/51","8/191179",0.00213217308100055,1,"ADAT3",0.00510520315169147
"GO:1990948","MF","ubiquitin ligase inhibitor activity","1/51","8/191179",0.00213217308100055,1,"RPS20",0.00510520315169147
"GO:0003691","MF","double-stranded telomeric DNA binding","1/51","9/191179",0.00239838113124302,1,"PURA",0.00566284433765713
"GO:0000166","MF","nucleotide binding","4/51","2150/191179",0.00261857029477836,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.00596010953200486
"GO:0001054","MF","RNA polymerase I activity","1/51","10/191179",0.00266451955548452,1,"POLR2K",0.00596010953200486
"GO:0001056","MF","RNA polymerase III activity","1/51","10/191179",0.00266451955548452,1,"POLR2K",0.00596010953200486
"GO:1901265","MF","nucleoside phosphate binding","4/51","2151/191179",0.00262293773825156,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.00596010953200486
"GO:0047429","MF","nucleoside triphosphate diphosphatase activity","1/51","11/191179",0.00293058837157223,1,"NUDT16",0.00630632940718075
