"Category","Description","p.adjust","Count","Genes"
"GO CC","intracellular anatomical structure",2.92e-37,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1"
"GO CC","cellular anatomical entity",1.15e-36,45,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1"
"GO CC","organelle",1.03e-31,39,"ADAT3/CMTR2/DDX19A/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1"
"GO CC","nucleus",2.12e-31,33,"ADAT3/CMTR2/DDX19A/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1"
"GO CC","intracellular organelle",2.12e-31,38,"ADAT3/CMTR2/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1"
"GO CC","membrane-bounded organelle",2.24e-31,38,"ADAT3/CMTR2/DDX19A/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1"
"GO CC","intracellular membrane-bounded organelle",2.45e-31,37,"ADAT3/CMTR2/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1"
"GO CC","protein-containing complex",1.36e-27,29,"EIF2S3B/EIF4A1/FIP1L1/HNRNPA1L2/HNRNPA3/MRPS28/NCBP2L/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3/ZRSR2P1"
"GO CC","cytoplasm",1.44e-27,34,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/LCMT2/MRPS28/NUDT16/NXF5/PNRC2/POLR2G/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/TRMT12/ZCCHC13"
"KEGG","Ribosome - Homo sapiens (human)",3.09e-26,13,"MRPS28/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA"
"KEGG","Coronavirus disease - Homo sapiens (human)",1.09e-23,12,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA"
"KEGG","RNA polymerase - Homo sapiens (human)",1.32e-12,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K"
"KEGG","Nucleotide excision repair - Homo sapiens (human)",2.49e-11,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K"
"KEGG","Huntington disease - Homo sapiens (human)",6.04e-08,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K"
"KEGG","Spliceosome - Homo sapiens (human)",1.32e-06,4,"HNRNPA1L2/HNRNPA3/NCBP2L/SNRNP27"
"KEGG","mRNA surveillance pathway - Homo sapiens (human)",5.76e-06,3,"DDX19A/FIP1L1/NCBP2L"
"KEGG","Nucleocytoplasmic transport - Homo sapiens (human)",0.000643,2,"DDX19A/NCBP2L"
"KEGG","Amyotrophic lateral sclerosis - Homo sapiens (human)",0.00639,2,"HNRNPA1L2/HNRNPA3"
"KEGG","Asthma - Homo sapiens (human)",0.0111,1,"RNASE3"
