"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0043603","BP","amide metabolic process","20/51","1299/191179",2.41777289776555e-30,20,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/ZCCHC13",6.78127731801861e-29
"GO:0016070","BP","RNA metabolic process","26/51","5098/191179",1.45018091641004e-27,26,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",3.88252981711597e-26
"GO:0090304","BP","nucleic acid metabolic process","26/51","5652/191179",1.98560274649675e-26,26,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",5.08486964211559e-25
"GO:0044271","BP","cellular nitrogen compound biosynthetic process","25/51","4944/191179",2.52250308949772e-26,25,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/ZCCHC13",6.190642998809e-25
"GO:0006139","BP","nucleobase-containing compound metabolic process","26/51","6165/191179",1.78687290527718e-25,26,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",4.20987256483303e-24
"GO:0046483","BP","heterocycle metabolic process","26/51","6336/191179",3.56452857854289e-25,26,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",8.07502820292985e-24
"GO:0006725","BP","cellular aromatic compound metabolic process","26/51","6390/191179",4.41541115682006e-25,26,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",9.63213767172968e-24
"GO:1901360","BP","organic cyclic compound metabolic process","26/51","6635/191179",1.13970671245886e-24,26,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",2.39745447727954e-23
"GO:0006396","BP","RNA processing","17/51","1467/191179",1.16951447943897e-23,17,"ADAT3/CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/NCBP2L/NOP2/NUDT16/RBM4/RPS8/SMN1/SNRNP27/TRMT12/UTP3/ZRSR2P1",2.37532423582604e-22
"GO:1901564","BP","organonitrogen compound metabolic process","23/51","6072/191179",2.7909729029334e-21,23,"EIF2S3B/EIF4A1/LCMT2/MCTS1/MRPS28/NUDT16/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/TRMT12/ZCCHC13",5.47961013275924e-20
"GO:0016071","BP","mRNA metabolic process","13/51","829/191179",7.14356139601043e-20,13,"CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/NCBP2L/NUDT16/PNRC2/POLR2G/RBM4/SMN1/SNRNP27/ZRSR2P1",1.35727666524198e-18
"GO:0019538","BP","protein metabolic process","20/51","5056/191179",9.53038518831787e-19,20,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/ZCCHC13",1.75418652372476e-17
"GO:0022613","BP","ribonucleoprotein complex biogenesis","10/51","504/191179",1.72016521898692e-16,10,"EIF2S3B/MCTS1/NOP2/NUDT16/RPL10/RPS27L/RPS8/RPSA/SMN1/UTP3",3.07023428479787e-15
"GO:0006397","BP","mRNA processing","10/51","518/191179",2.26170589340789e-16,10,"CMTR2/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/NCBP2L/RBM4/SMN1/SNRNP27/ZRSR2P1",3.91807285652131e-15
"GO:0022618","BP","protein-RNA complex assembly","7/51","235/191179",4.28487173328732e-13,7,"EIF2S3B/MCTS1/NOP2/RPL10/RPS27L/RPSA/SMN1",7.21082700258924e-12
